Title,Type,Genres,Description,Release Year,Age Certification,Runtime,IMDB ID,IMDB Score,IMDB Votes,Production Countries,Seasons,Rating
Monty Python's Fliegender Zirkus,SHOW,['comedy'],"Monty Python's Fliegender Zirkus consisted of two 45-minute Monty Python German television comedy specials produced by WDR for West German television. The two episodes were first broadcast in January and December 1972 and were shot entirely on film and mostly on location in Bavaria, with the first episode recorded in German and the second recorded in English and then dubbed into German.",1972,TV-MA,43,tt0202477,8.1,2144.0,[],1.0,Best
The Exorcist,MOVIE,['horror'],"12-year-old Regan MacNeil begins to adapt an explicit new personality as strange events befall the local area of Georgetown. Her mother becomes torn between science and superstition in a desperate bid to save her daughter, and ultimately turns to her last hope: Father Damien Karras, a troubled priest who is struggling with his own faith.",1973,R,133,tt0070047,8.1,391942.0,['US'],0.0,Best
Khoon Khoon,MOVIE,"['drama', 'crime', 'thriller']","As a crazed killer blazes a trail of blood through an anxious city, a hardened cop aims to take him down by any means in this remake of Dirty Harry.",1973,,131,tt0230412,5.1,41.0,['IN'],0.0,Average
Manoranjan,MOVIE,"['comedy', 'drama', 'romance']","Havaldar Ratan is a rookie at the local police station, and is assigned duty on foot patrol on Manoranjan Street, a notorious red-light area, on the very first day of his job. He strikes up a conversation with a good-looking young woman named Nisha, and tells her that there is a possible violation of Suppression of Immoral Trafficking Act taking place on this street. He witnesses several women soliciting men, and decides to call in the paddy wagon, and get them arrested. Alas, one of the men frequenting the prostitutes is none other than Ratan's superior officer, who immediately summons Ratan, and has him removed from service on corruption charges. Nisha takes pity on a homeless and unemployed Ratan, and asks him to live with her. He does not want her to sell her body, and so he decides to work at night, and during the day he takes on the guise of a rich Nawab and spends time with her.",1974,,162,tt0071811,6.5,236.0,['IN'],0.0,Average
Monty Python and the Holy Grail,MOVIE,"['comedy', 'fantasy']","King Arthur, accompanied by his squire, recruits his Knights of the Round Table, including Sir Bedevere the Wise, Sir Lancelot the Brave, Sir Robin the Not-Quite-So-Brave-As-Sir-Lancelot and Sir Galahad the Pure. On the way, Arthur battles the Black Knight who, despite having had all his limbs chopped off, insists he can still fight. They reach Camelot, but Arthur decides not  to enter, as ""it is a silly place"".",1975,PG,91,tt0071853,8.199999999999998,530877.0,['GB'],0.0,Best
"Beirut, Oh Beirut",MOVIE,['drama'],"In the aftermath of the 1967 defeat, four young Lebanese try to figure out their places in a society whose rules seem to have changed. It proved to be an extraordinary anticipation of the civil war that would engulf the country while the film was being edited.",1975,,110,tt0169599,6.5,106.0,['LB'],0.0,Average
Chadi Jawani Budhe Nu,MOVIE,['romance'],"A small-time businessman (B.S. Sood) reaches the ""naughty forties"". Now his wife is not good enough anymore, so he decides he needs a modern up to date mistress, resulting in hilarious situations.",1976,,135,tt3290368,4.6,14.0,['IN'],0.0,Poor
The Return of the Prodigal Son,MOVIE,"['drama', 'crime']","In this Andre Gide adaptation, an activist is released after many years in prison and returns home, shaking up established relationships among his family members at the farm governed by his strict father. Demonstrating Chahineâ€™s eclecticism, this is an elegant melodrama, exuberant musical, layered allegory, and profound portrait of personal and political disillusionment.",1976,,124,tt0074168,7.2,768.0,"['DZ', 'EG']",0.0,Best
Taxi Driver,MOVIE,"['crime', 'drama']","A mentally unstable Vietnam War veteran works as a night-time taxi driver in New York City where the perceived decadence and sleaze feed his urge for violent action, attempting to save a preadolescent prostitute in the process.",1976,R,113,tt0075314,8.3,795222.0,['US'],0.0,Best
Hitler: A Career,MOVIE,"['documentation', 'history', 'european']","A keen chronicle of the unlikely rise to power of Adolf Hitler (1889-1945) and a dissection of the Third Reich (1933-1945), but also an analysis of mass psychology and how the desperate crowd can be deceived and shepherded to the slaughterhouse.",1977,PG,150,tt0191182,7.5,2416.0,['DE'],0.0,Best
Bandie,MOVIE,"['drama', 'romance', 'action']","Maharaj Brajbhan lives a wealthy lifestyle in Bharatpur, India along with his wife, Badi Rani, but have been unable to conceive for Bharatpur, and have no choice but to leave it's reigns with Brajban's widowed cousin, Vikram, and his son, Kanchan. When Vikram finds out that Badi Rani is pregnant, he plots to first sully her character by having her abducted, then shunned by the Maharaj, and then decides to have her killed. But her killer has a change of heart and lets her live. She gives birth to a son, names him Bhola, and starts living a simple lifestyle in a Mandir with the help of it's Poojary. Years later Vikram finds out she is alive and kills her, as well the Poojary and the Poojary's son. Bhola witnesses this, manages to escape, starts to live with a poor widow, grows up uneducated, and makes a living through crime.",1978,,141,tt1219315,4.2,35.0,['IN'],0.0,Poor
No Longer Kids,MOVIE,"['comedy', 'drama']","By coincidence, Ahmad discovers that his father, Ramada Al Sokkary has a love letter in his suit case, which reveals his love to a woman other than his mother. Ahmad tries with his brothers and sister to find out the reasons that made their father look for another woman. The play shows the amusing acts the children undertake to save their family.",1979,,235,tt8312792,9.0,943.0,['EG'],0.0,Best
Alexandriaâ€¦ Why?,MOVIE,['drama'],"Set against the panoramic backdrop of war-torn Egypt, director Youssef Chahine tells a highly personal tale of love and determination. Amid the poverty, death and suffering caused by World War II, 18 year-old Yehia, retreats into a private world of fantasy and longing. Obsessed with Hollywood, he dreams of one day studying filmmaking in America, but after falling in love and discovering the lies of European occupation, Yehia profoundly reevaluates his identity and allegiances.",1979,,133,tt0077751,7.2,1689.0,['EG'],0.0,Best
We Are All for the Fatherland,MOVIE,['documentation'],"After the 1978 Israeli invasion of Lebanon, children try to sing the national anthem as citizens search for hope in the war-torn South.",1979,,74,tt0170799,6.2,43.0,"['FR', 'LB', 'CA']",0.0,Average
Richard Pryor: Live in Concert,MOVIE,"['comedy', 'documentation']","Richard Pryor delivers monologues on race, sex, family and his favorite targetâ€”himself, live at the Terrace Theatre in Long Beach, California.",1979,R,78,tt0079807,8.1,5141.0,['US'],0.0,Best
Alibaba Aur 40 Chor,MOVIE,"['drama', 'action', 'romance', 'family', 'fantasy']","The movie is based on the story of Ali Baba and the Forty Thieves, from the One Thousand and One Nights or Arabian Tales. The role of Ali Baba is played by Dharmendra and Hema Malini play Morjina.",1979,,138,tt0079749,6.2,555.0,"['IN', 'SU']",0.0,Average
Lupin the Third: The Castle of Cagliostro,MOVIE,"['comedy', 'animation', 'action', 'fantasy', 'family']","After a successful robbery leaves famed thief Lupin the Third and his partner Jigen with nothing but a large amount of expertly crafted counterfeit bills, he decides to track down the forgers responsibleâ€”and steal any other treasures he may find in the Castle of Cagliostro, including the 'damsel in distress' he finds imprisoned there.",1979,PG,100,tt0079833,7.6,30277.0,['JP'],0.0,Best
Life of Brian,MOVIE,['comedy'],"Brian Cohen is an average young Jewish man, but through a series of ridiculous events, he gains a reputation as the Messiah. When he's not dodging his followers or being scolded by his shrill mother, the hapless Brian has to contend with the pompous Pontius Pilate and acronym-obsessed members of a separatist movement. Rife with Monty Python's signature absurdity, the tale finds Brian's life paralleling Biblical lore, albeit with many more laughs.",1979,R,94,tt0079470,8.0,392419.0,['GB'],0.0,Best
Whispers,MOVIE,['documentation'],"At every station, between sites filled with poetry and nostalgia for a bygone era, the poet's dashed dreams and idealized vision of her country coincide with the director's own.",1980,,93,tt0170803,7.8,75.0,"['FR', 'LB', 'CA']",0.0,Best
The Long Riders,MOVIE,"['western', 'crime']","The origins, exploits and the ultimate fate of the James gang is told in a sympathetic portrayal of the bank robbers made up of brothers who begin their legendary bank raids because of revenge.",1980,R,99,tt0081071,6.9,11329.0,['US'],0.0,Average
The Blue Lagoon,MOVIE,"['romance', 'drama']","Two small children and a ship's cook survive a shipwreck and find safety on an idyllic tropical island. Soon, however, the cook dies and the young boy and girl are left on their own. Days become years and Emmeline and Richard make a home for themselves surrounded by exotic creatures and nature's beauty. But will they ever see civilization again?",1980,R,104,tt0080453,5.8,69053.0,['US'],0.0,Average
Dostana,MOVIE,"['drama', 'comedy', 'romance', 'action', 'crime']","Vijay and Ravi are best friends (hence the name 'Dostana') who do not even question each other about their careers. Vijay, a police officer and Ravi, a lawyer, while the former catches the criminals who smuggle, Ravi on the other hand bail those criminals, employed by Daaga. One day, both Vijay and Ravi meet Sheetal at different places and times, and both fancy the same girl, Sheetal, but Vijay's love was more serious. Ravi admits his love for Sheetal to Vijay and is devastated but Vijay decides to sacrifice his love and give Sheetal's hand. However, there was a misunderstanding when Daaga decided to stir up Vijay and Ravi's friendship by showing a photo of Vijay and Sheetal to Ravi. They became rivals for the first time and Ravi started to turn to be an enemy of Vijay. Do their friendship recover? Does Ravi get to know the truth? Do Sheetal get back with Vijay?",1980,,161,tt0080653,2.1,25.0,['IN'],0.0,Poor
Endless Love,MOVIE,"['drama', 'romance']","Two young kids fall in love with each other. But the passion is too consuming for the parents of Jade. The parents try to stop them from seeing each other. But when this doesn't work, David burns down the house and is sent away. This doesn't stop him from seeing her. When he gets out he goes to look for her. But the passion for his first love is too strong and she has to leave.",1981,R,116,tt0082329,4.9,8374.0,['US'],0.0,Poor
Danger Mouse,SHOW,"['comedy', 'family', 'scifi', 'animation', 'european']","Danger Mouse, the world's greatest secret agent, and his side-kick Penfold work to foil the evil schemes of Baron Greenback.",1981,TV-Y,15,tt0081848,7.4,3514.0,['GB'],10.0,Best
Mobile Suit Gundam II: Soldiers of Sorrow,MOVIE,"['scifi', 'drama', 'war', 'animation', 'action']","After managing to survive attacks by Zeon's Char Aznable and Garma Zabi, the crew of Federation warship White Base and its mobile suits must battle Zeon forces through Asia, Europe, and the Atlantic Ocean if they are to reach Earth Federation's headquarters alive. During that process many of its crewmembers must overcome their fears, losses, immaturities, and insecurities in order to survive.",1981,,133,tt0159510,7.2,1242.0,['JP'],0.0,Best
Monty Python Live at the Hollywood Bowl,MOVIE,"['comedy', 'documentation']","Monty Python perform many of their greatest sketches at the Hollywood Bowl, including several from pre-Python days.",1982,R,77,tt0084352,7.9,15186.0,['GB'],0.0,Best
The Little Wars,MOVIE,"['drama', 'war', 'european']","Beirut resident Soraya is drawn to two men: daredevil photographer Nabil and Talal, who must embrace his feudal heritage when his father is kidnapped.",1982,,108,tt0084492,6.3,149.0,"['FR', 'LB']",0.0,Average
Knight Rider,SHOW,"['action', 'scifi', 'crime', 'drama']","Michael Long, an undercover police officer, is shot while investigating a case and left for dead by his assailants. He is rescued by Wilton Knight, a wealthy, dying millionaire and inventor who arranges life-saving surgery, including a new face and a new identity--that of Michael Knight. Michael is then given a special computerized and indestructible car called the Knight Industries Two Thousand (nicknamed KITT), and a mission: apprehend criminals who are beyond the reach of the law. The series depicts Michael's exploits as he and KITT battle the forces of evil on behalf of the Foundation for Law and Government.",1982,TV-PG,51,tt0083437,6.9,33760.0,['US'],4.0,Average
Bye Bye London,MOVIE,"['comedy', 'drama']","A comedy about an old married man that travels to London with his nephew who does his to save him from exposure to fraud, and being mugged in London, the play also covers some political aspects and projections in addition to social criticism of some of the Arab situations.",1982,,170,tt10130668,8.699999999999998,154.0,['KW'],0.0,Best
An Egyptian Story,MOVIE,"['fantasy', 'drama']","Acclaimed actor Nour El Cherif here plays Egyptian filmmaker Yehia Mourad some thirty years after we last see him in ""Alexandria, Why?""  Though successful in his work, Yehia has grown distant from his wife and children and suï¬€ers a symbolic blockage of the heart while shooting the final scenes of his latest film. After being flown to England for evaluation, it's determined that Yehia must undergo emergency surgery.  Fact and fiction blend seamlesslyâ€”with healthy doses of cleverly  absurdist fantasyâ€”as the film explores the various personalities and forces that have made Yehia (and Youssef Chahine) the man he has become.",1982,,129,tt0084042,7.3,1113.0,['EG'],0.0,Best
Annie,MOVIE,"['drama', 'family', 'comedy']","An orphan in a facility run by the mean Miss Hannigan, Annie believes that her parents left her there by mistake. When a rich man named Oliver ""Daddy"" Warbucks decides to let an orphan live at his home to promote his image, Annie is selected. While Annie gets accustomed to living in Warbucks' mansion, she still longs to meet her parents. So Warbucks announces a search for them and a reward, which brings out many frauds.",1982,PG,127,tt0083564,6.6,44866.0,['US'],0.0,Average
